,Happiness Rank,Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
241,84,Bhutan,5.1960000000000015,0.8527,0.90836,0.49759,0.46074,0.4854600000000001,0.1616,2016
242,85,Kyrgyzstan,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.38432,0.04762,2016
243,86,Serbia,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339,2016
244,87,Bosnia and Herzegovina,5.1629999999999985,0.93383,0.64367,0.7076600000000001,0.09511,0.29889,0.0,2016
245,88,Montenegro,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.17190999999999998,0.12721,2016
246,89,Dominican Republic,5.155,1.02787,0.99496,0.5766899999999999,0.52259,0.21286,0.12372,2016
247,90,Morocco,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25646,0.04053,0.08404,2016
248,91,Hungary,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472,2016
249,92,Pakistan,5.1320000000000014,0.68816,0.26135,0.40306,0.14622000000000002,0.31185,0.1388,2016
250,93,Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.23693000000000006,0.03061,2016
251,94,Portugal,5.122999999999998,1.27607,0.94367,0.7936300000000001,0.44727,0.11691,0.01521,2016
252,95,Macedonia,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.23507,0.07047,2016
253,96,Vietnam,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.25075,0.11556,2016
254,97,Somaliland Region,5.057,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.51479,0.36794,2016
255,98,Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817,2016
256,99,Greece,5.033,1.24886,0.75473,0.80029,0.058220000000000015,0.0,0.04127,2016
257,100,Tajikistan,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.25998000000000004,0.13509000000000002,2016
258,101,Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.34539000000000003,0.03285,2016
259,102,Laos,4.876,0.68042,0.5497,0.38291,0.52168,0.43079,0.22423,2016
260,103,Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305,2016
261,104,Honduras,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.2044,0.06906,2016
262,105,Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.38538,0.0557,2016
263,106,Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479,2016
264,107,Nepal,4.793,0.4462600000000001,0.69699,0.50073,0.37012,0.3816,0.07007999999999999,2016
265,108,Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613,2016
266,109,Albania,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,2016
267,110,Bangladesh,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,2016
268,111,Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196,2016
269,112,Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.19589,0.13635999999999998,2016
